"","Supplier.Name","tot"
"933","pacific aviation safety office",5
"934","pacific energy aviation",63
"935","pacific institute of public policy",10
"936","pacific scientific energetic materi",6
"937","palantir technologies",14
"938","paterva",5
"939","patrick defence log's - usd",6
"940","paul buck",6
"941","pdf tools",6
"942","pearson engineering",28
"943","penske power systems  - eur",5
"944","perforce software",7
"945","periscope",7
"946","permedia research group",6
"947","peter bazeley development consulting",35
"948","peter maccallum cancer institute",33
"949","peter raymond callaghan",7
"950","phire",5
"951","pilatus aircraft",929
"952","pinkmatter solutions",16
"953","plans & solutions",5
"954","platts",11
"955","platts/mcgraw-hill",7
"956","plum consulting",16
"957","pluralsight",14
"958","pointwise",7
"959","pomeroy jacqueline l",6
"960","poongsan",122
"961","prepack",305
"962","presagis canada",30
"963","pricewaterhousecoopers honiara",5
"964","pricewaterhousecoopers png",6
"965","prime recognition",8
"966","princess alexandra hospital",11
"967","prismtech",9
"968","private",6
"969","private individual",63
"970","private individual - dubai",6
"971","private individual - india",7
"972","private individual - jakarta",5
"973","private individual-singapore",5
"974","professor james crawford",5
"975","prolog development center",6
"976","prolog development centre",11
"977","prologic",9
"978","proquest",86
"979","proquest information & learning",5
"980","proquest information and learning",15
"981","prosec security & communications t/a protect security & pacom communications",6
"982","proton energy systems",24
"983","psa marine (pte)",5
"984","pt geoff forrester indonesia",8
"985","pt triadi",5
"986","ptt public",15
"987","pulse systems",7
"988","qantas",7
"989","qantas airways",44
"990","qantas airways limit",25
"991","qantas415-7425222",8
"992","qcoherent software",6
"993","qinetiq",24
"994","qinetiq consulting",9
"995","qioptiq",32
"996","qsm",8
"997","quality thin films",11
"998","qualtrics",24
"999","quark software",9
"1000","queen's university at kingston",8
"1001","quest software international",12
"1002","questel orbit",6
"1003","r e darling",5
"1004","r/m equipment",25
"1005","radar systems technologyorporat",5
"1006","radiation and oncology centre",12
"1007","radiation oncology associates",10
"1008","radiation oncology centre",11
"1009","radio tactics",10
"1010","rafael advanced defense systems",16
"1011","rainbow research optics",6
"1012","rally software development",5
"1013","ramsey electronics",10
"1014","rand corporation",9
"1015","rand corporation rand",16
"1016","rapanea consulting",5
"1017","raytheon",6
"1018","raytheon canada limited dba elcan o",9
"1019","raytheon company dba raytheon",38
"1020","raytheon company!dba raytheon",6
"1021","raytheon virtual technology",5
"1022","real time logic",5
"1023","rebecca calder",6
"1024","recall total information management aust",5
"1025","receiver general for canada",7
"1026","receiver general for canada public",39
"1027","red sea housing services",11
"1028","redcliffe international (shipping)",10
"1029","reed business information",5
"1030","reed elsevier nederland",14
"1031","refraction technology",9
"1032","regulatory economics",10
"1033","regulus global",5
"1034","relli technology",18
"1035","relx nederland",5
"1036","replicon",8
"1037","research systems dba itt visua",8
"1038","response systems",7
"1039","retro track and air",5
"1040","reveal marketing group",7
"1041","rexon tld systems",23
"1042","rheinmetall waffe munition",8
"1043","rheinmetall waffe munition gmbh nie",11
"1044","ricardo",5
"1045","ricardo uk",7
"1046","richmond eei",6
"1047","ridgecrest inn",6
"1048","ridgeway international",102
"1049","riverina cancer care centre",11
"1050","rmit international university",12
"1051","rms engineering and construction",10
"1052","robertson fuel systems",16
"1053","rock oil engineering",7
"1054","rock oil global sdn bhd",13
"1055","rockwell collins",12
